"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2021","H","ID",,"YFT","YELLOWFIN TUNA","34429"
"2021","H","ID",,"SWO","SWORDFISH","4"
"2022","H","ID",,"ALB","ALBACORE","65"
"2022","H","ID",,"BET","BIGEYE TUNA","850"
"2022","H","ID",,"YFT","YELLOWFIN TUNA","22150"
"2022","H","ID",,"SWO","SWORDFISH","4"
"2023","O","ID",,"BET","BIGEYE TUNA","10540"
"2023","O","ID",,"SKJ","SKIPJACK TUNA","48111"
"2023","O","ID",,"YFT","YELLOWFIN TUNA","50213"
"2023","O","ID",,"MLS","STRIPED MARLIN","79"
"2023","O","ID",,"SWO","SWORDFISH","30"
"1950","O","ID",,"SKJ","SKIPJACK TUNA","2645"
"1950","O","ID",,"YFT","YELLOWFIN TUNA","625"
"1951","O","ID",,"SKJ","SKIPJACK TUNA","2854"
"1951","O","ID",,"YFT","YELLOWFIN TUNA","693"
"1952","O","ID",,"SKJ","SKIPJACK TUNA","3079"
"1952","O","ID",,"YFT","YELLOWFIN TUNA","768"
"1953","O","ID",,"SKJ","SKIPJACK TUNA","3322"
"1953","O","ID",,"YFT","YELLOWFIN TUNA","852"
"1954","O","ID",,"SKJ","SKIPJACK TUNA","3584"
"1954","O","ID",,"YFT","YELLOWFIN TUNA","945"
"1955","O","ID",,"SKJ","SKIPJACK TUNA","3867"
"1955","O","ID",,"YFT","YELLOWFIN TUNA","1048"
"1956","O","ID",,"SKJ","SKIPJACK TUNA","4173"
"1956","O","ID",,"YFT","YELLOWFIN TUNA","1162"
"1957","O","ID",,"SKJ","SKIPJACK TUNA","4503"
"1957","O","ID",,"YFT","YELLOWFIN TUNA","1289"
"1958","O","ID",,"SKJ","SKIPJACK TUNA","4859"
"1958","O","ID",,"YFT","YELLOWFIN TUNA","1429"
"1959","O","ID",,"SKJ","SKIPJACK TUNA","5243"
"1959","O","ID",,"YFT","YELLOWFIN TUNA","1585"
"1960","O","ID",,"SKJ","SKIPJACK TUNA","5657"
"1960","O","ID",,"YFT","YELLOWFIN TUNA","1758"
"1961","O","ID",,"SKJ","SKIPJACK TUNA","6104"
"1961","O","ID",,"YFT","YELLOWFIN TUNA","1950"
"1962","O","ID",,"SKJ","SKIPJACK TUNA","6586"
"1962","O","ID",,"YFT","YELLOWFIN TUNA","2163"
"1963","O","ID",,"SKJ","SKIPJACK TUNA","7106"
"1963","O","ID",,"YFT","YELLOWFIN TUNA","2399"
"1964","O","ID",,"SKJ","SKIPJACK TUNA","7667"
"1964","O","ID",,"YFT","YELLOWFIN TUNA","2660"
"1965","O","ID",,"SKJ","SKIPJACK TUNA","8273"
"1965","O","ID",,"YFT","YELLOWFIN TUNA","2950"
"1966","O","ID",,"SKJ","SKIPJACK TUNA","8927"
"1966","O","ID",,"YFT","YELLOWFIN TUNA","3271"
"1967","O","ID",,"SKJ","SKIPJACK TUNA","9632"
"1967","O","ID",,"YFT","YELLOWFIN TUNA","3628"
"1968","O","ID",,"SKJ","SKIPJACK TUNA","10393"
"1968","O","ID",,"YFT","YELLOWFIN TUNA","4024"
"1969","O","ID",,"SKJ","SKIPJACK TUNA","11214"
"1969","O","ID",,"YFT","YELLOWFIN TUNA","4463"
"1970","O","ID",,"BET","BIGEYE TUNA","550"
"1970","O","ID",,"SKJ","SKIPJACK TUNA","12100"
"1970","O","ID",,"YFT","YELLOWFIN TUNA","4950"
"1971","O","ID",,"BET","BIGEYE TUNA","570"
"1971","O","ID",,"SKJ","SKIPJACK TUNA","12400"
"1971","O","ID",,"YFT","YELLOWFIN TUNA","5130"
"1972","O","ID",,"BET","BIGEYE TUNA","900"
"1972","O","ID",,"SKJ","SKIPJACK TUNA","19600"
"1972","O","ID",,"YFT","YELLOWFIN TUNA","8100"
"1973","O","ID",,"BET","BIGEYE TUNA","1020"
"1973","O","ID",,"SKJ","SKIPJACK TUNA","22300"
"1973","O","ID",,"YFT","YELLOWFIN TUNA","9180"
"1974","O","ID",,"BET","BIGEYE TUNA","1017"
"1974","O","ID",,"SKJ","SKIPJACK TUNA","23613"
"1974","O","ID",,"YFT","YELLOWFIN TUNA","9149"
"1975","O","ID",,"BET","BIGEYE TUNA","1106"
"1975","O","ID",,"SKJ","SKIPJACK TUNA","23316"
"1975","O","ID",,"YFT","YELLOWFIN TUNA","9956"
"1976","O","ID",,"BET","BIGEYE TUNA","753"
"1976","O","ID",,"SKJ","SKIPJACK TUNA","25338"
"1976","O","ID",,"YFT","YELLOWFIN TUNA","6777"
"1977","O","ID",,"BET","BIGEYE TUNA","1027"
"1977","O","ID",,"SKJ","SKIPJACK TUNA","26376"
"1977","O","ID",,"YFT","YELLOWFIN TUNA","9241"
"1978","O","ID",,"BET","BIGEYE TUNA","823"
"1978","O","ID",,"SKJ","SKIPJACK TUNA","29422"
"1978","O","ID",,"YFT","YELLOWFIN TUNA","7403"
"1979","O","ID",,"BET","BIGEYE TUNA","1148"
"1979","O","ID",,"SKJ","SKIPJACK TUNA","36310"
"1979","O","ID",,"YFT","YELLOWFIN TUNA","10334"
"1980","O","ID",,"BET","BIGEYE TUNA","684"
"1980","O","ID",,"SKJ","SKIPJACK TUNA","11181"
"1980","O","ID",,"YFT","YELLOWFIN TUNA","6140"
"1981","O","ID",,"BET","BIGEYE TUNA","905"
"1981","O","ID",,"SKJ","SKIPJACK TUNA","11539"
"1981","O","ID",,"YFT","YELLOWFIN TUNA","8124"
"1982","O","ID",,"BET","BIGEYE TUNA","1006"
"1982","O","ID",,"SKJ","SKIPJACK TUNA","12317"
"1982","O","ID",,"YFT","YELLOWFIN TUNA","9031"
"1983","O","ID",,"BET","BIGEYE TUNA","908"
"1983","O","ID",,"SKJ","SKIPJACK TUNA","16277"
"1983","O","ID",,"YFT","YELLOWFIN TUNA","8050"
"1984","O","ID",,"BET","BIGEYE TUNA","1374"
"1984","O","ID",,"SKJ","SKIPJACK TUNA","13741"
"1984","O","ID",,"YFT","YELLOWFIN TUNA","12366"
"1985","O","ID",,"BET","BIGEYE TUNA","1585"
"1985","O","ID",,"SKJ","SKIPJACK TUNA","14178"
"1985","O","ID",,"YFT","YELLOWFIN TUNA","14148"
"1986","O","ID",,"BET","BIGEYE TUNA","2055"
"1986","O","ID",,"SKJ","SKIPJACK TUNA","10712"
"1986","O","ID",,"YFT","YELLOWFIN TUNA","18373"
"1987","O","ID",,"BET","BIGEYE TUNA","2300"
"1987","O","ID",,"SKJ","SKIPJACK TUNA","12491"
"1987","O","ID",,"YFT","YELLOWFIN TUNA","20594"
"1988","O","ID",,"BET","BIGEYE TUNA","2718"
"1988","O","ID",,"SKJ","SKIPJACK TUNA","14595"
"1988","O","ID",,"YFT","YELLOWFIN TUNA","24507"
"1989","O","ID",,"BET","BIGEYE TUNA","3098"
"1989","O","ID",,"SKJ","SKIPJACK TUNA","14670"
"1989","O","ID",,"YFT","YELLOWFIN TUNA","27792"
"1990","O","ID",,"BET","BIGEYE TUNA","2195"
"1990","O","ID",,"SKJ","SKIPJACK TUNA","30415"
"1990","O","ID",,"YFT","YELLOWFIN TUNA","19649"
"1991","O","ID",,"BET","BIGEYE TUNA","2245"
"1991","O","ID",,"SKJ","SKIPJACK TUNA","31106"
"1991","O","ID",,"YFT","YELLOWFIN TUNA","20096"
"1992","O","ID",,"BET","BIGEYE TUNA","2581"
"1992","O","ID",,"SKJ","SKIPJACK TUNA","35762"
"1992","O","ID",,"YFT","YELLOWFIN TUNA","23104"
"1993","O","ID",,"BET","BIGEYE TUNA","2364"
"1993","O","ID",,"SKJ","SKIPJACK TUNA","32762"
"1993","O","ID",,"YFT","YELLOWFIN TUNA","21166"
"1994","O","ID",,"BET","BIGEYE TUNA","2622"
"1994","O","ID",,"SKJ","SKIPJACK TUNA","36339"
"1994","O","ID",,"YFT","YELLOWFIN TUNA","23477"
"1995","O","ID",,"BET","BIGEYE TUNA","2795"
"1995","O","ID",,"SKJ","SKIPJACK TUNA","38724"
"1995","O","ID",,"YFT","YELLOWFIN TUNA","25018"
