[[1]]
       Yr Bio_smry
4                1966         334.9430         334.9430        334.9430        334.9430               334.9430              334.9430              334.9430             334.9430             334.9430                    334.9430
5                1967         334.7790         334.7790        334.7790        334.7790               334.7790              334.7790              334.7790             334.7790             334.7790                    334.7790
6                1968         332.7520         332.7520        332.7520        332.7520               332.7520              332.7520              332.7520             332.7520             332.7520                    332.7520
7                1969         330.5720         330.5720        330.5720        330.5720               330.5720              330.5720              330.5720             330.5720             330.5720                    330.5720
8                1970         327.7520         327.7520        327.7520        327.7520               327.7520              327.7520              327.7520             327.7520             327.7520                    327.7520
9                1971         322.8140         322.8140        322.8140        322.8140               322.8140              322.8140              322.8140             322.8140             322.8140                    322.8140
10               1972         312.5190         312.5190        312.5190        312.5190               312.5190              312.5190              312.5190             312.5190             312.5190                    312.5190
11               1973         295.4980         295.4980        295.4980        295.4980               295.4980              295.4980              295.4980             295.4980             295.4980                    295.4980
12               1974         288.8960         288.8960        288.8960        288.8960               288.8960              288.8960              288.8960             288.8960             288.8960                    288.8960
13               1975         359.9360         359.9360        359.9360        359.9360               359.9360              359.9360              359.9360             359.9360             359.9360                    359.9360
14               1976         531.6910         531.6910        531.6910        531.6910               531.6910              531.6910              531.6910             531.6910             531.6910                    531.6910
15               1977         543.2780         543.2780        543.2780        543.2780               543.2780              543.2780              543.2780             543.2780             543.2780                    543.2780
16               1978         704.4100         704.4100        704.4100        704.4100               704.4100              704.4100              704.4100             704.4100             704.4100                    704.4100
17               1979         471.6190         471.6190        471.6190        471.6190               471.6190              471.6190              471.6190             471.6190             471.6190                    471.6190
18               1980         487.2260         487.2260        487.2260        487.2260               487.2260              487.2260              487.2260             487.2260             487.2260                    487.2260
19               1981         406.4430         406.4430        406.4430        406.4430               406.4430              406.4430              406.4430             406.4430             406.4430                    406.4430
20               1982         664.1480         664.1480        664.1480        664.1480               664.1480              664.1480              664.1480             664.1480             664.1480                    664.1480
21               1983         592.8240         592.8240        592.8240        592.8240               592.8240              592.8240              592.8240             592.8240             592.8240                    592.8240
22               1984         494.4650         494.4650        494.4650        494.4650               494.4650              494.4650              494.4650             494.4650             494.4650                    494.4650
23               1985         691.8610         691.8610        691.8610        691.8610               691.8610              691.8610              691.8610             691.8610             691.8610                    691.8620
24               1986         652.0070         652.0070        652.0070        652.0070               652.0070              652.0070              652.0070             652.0070             652.0070                    652.0070
25               1987         711.4800         711.4800        711.4800        711.4800               711.4800              711.4800              711.4800             711.4800             711.4800                    711.4800
26               1988         468.2920         468.2920        468.2920        468.2920               468.2920              468.2920              468.2920             468.2920             468.2920                    468.2920
27               1989         526.9870         526.9870        526.9870        526.9870               526.9870              526.9870              526.9870             526.9870             526.9870                    526.9870
28               1990         675.8930         675.8930        675.8930        675.8930               675.8930              675.8930              675.8930             675.8930             675.8930                    675.8930
29               1991         358.4110         358.4110        358.4110        358.4110               358.4110              358.4110              358.4110             358.4110             358.4110                    358.4100
30               1992         597.1400         597.1400        597.1400        597.1400               597.1400              597.1400              597.1400             597.1400             597.1400                    597.1400
31               1993         171.0800         171.0800        171.0800        171.0800               171.0800              171.0800              171.0800             171.0800             171.0800                    171.0800
32               1994         478.0650         478.0650        478.0650        478.0650               478.0650              478.0650              478.0650             478.0650             478.0650                    478.0650
33               1995         323.0480         323.0480        323.0480        323.0480               323.0480              323.0480              323.0480             323.0480             323.0480                    323.0480
34               1996         287.3740         287.3740        287.3740        287.3740               287.3740              287.3740              287.3740             287.3740             287.3740                    287.3740
35               1997         410.5330         410.5330        410.5330        410.5330               410.5330              410.5330              410.5330             410.5330             410.5330                    410.5330
36               1998         283.0470         283.0470        283.0470        283.0470               283.0470              283.0470              283.0470             283.0470             283.0470                    283.0470
37               1999         219.0580         219.0580        219.0580        219.0580               219.0580              219.0580              219.0580             219.0580             219.0580                    219.0580
38               2000         398.1700         398.1700        398.1700        398.1700               398.1700              398.1700              398.1700             398.1700             398.1700                    398.1700
39               2001         239.7380         239.7380        239.7380        239.7380               239.7380              239.7380              239.7380             239.7380             239.7380                    239.7380
40               2002         426.7070         426.7070        426.7070        426.7070               426.7070              426.7070              426.7070             426.7070             426.7070                    426.7070
41               2003         338.3150         338.3150        338.3150        338.3150               338.3150              338.3150              338.3150             338.3150             338.3150                    338.3150
42               2004         109.4000         109.4000        109.4000        109.4000               109.4000              109.4000              109.4000             109.4000             109.4000                    109.4000
43               2005         345.8160         345.8160        345.8160        345.8160               345.8160              345.8160              345.8160             345.8160             345.8160                    345.8160
44               2006         126.0420         126.0420        126.0420        126.0420               126.0420              126.0420              126.0420             126.0420             126.0420                    126.0420
45               2007         235.2440         235.2440        235.2440        235.2440               235.2440              235.2440              235.2440             235.2440             235.2440                    235.2440
46               2008         221.1720         221.1720        221.1720        221.1720               221.1720              221.1720              221.1720             221.1720             221.1720                    221.1720
47               2009          91.5585          91.5585         91.5585         91.5585                91.5585               91.5585               91.5585              91.5585              91.5585                     91.5585
48               2010         313.5220         313.5220        313.5220        313.5220               313.5220              313.5220              313.5220             313.5220             313.5220                    313.5220
49               2011         228.6370         228.6370        228.6370        228.6370               228.6370              228.6370              228.6370             228.6370             228.6370                    228.6370
50               2012          89.5255          89.5255         89.5255         89.5255                89.5255               89.5255               89.5255              89.5255              89.5255                     89.5255
51               2013         365.0040         365.0040        365.0040        365.0040               365.0040              365.0040              365.0040             365.0040             365.0040                    365.0040
52               2014         102.1690         102.1690        102.1690        102.1690               102.1690              102.1690              102.1690             102.1690             102.1690                    102.1690
53               2015         196.2860         196.2860        196.2860        196.2860               196.2860              196.2860              196.2860             196.2860             196.2860                    196.2860
54               2016         138.5840         138.5840        138.5840        138.5840               138.5840              138.5840              138.5840             138.5840             138.5840                    138.5840
55               2017         150.0450         150.0450        150.0450        150.0450               150.0450              150.0450              150.0450             150.0450             150.0450                    150.0450
56               2018         299.5380         299.5380        299.5380        299.5380               299.5380              299.5380              299.5380             299.5380             299.5380                    299.5380
57               2019         215.8840         215.8840        215.8840        215.8840               215.8840              215.8840              215.8840             215.8840             215.8840                    215.8840
